"INCIDENT_ID","MULTIPLE_OFFENSE"
"CR_27207","X1"
"CR_25274","X1"
"CR_75544","X1"
"CR_91225","X1"
"CR_133177","X1"
"CR_47914","X1"
"CR_1729","X1"
"CR_161691","X1"
"CR_41832","X1"
"CR_193860","X1"
"CR_56676","X1"
"CR_161391","X1"
"CR_27658","X1"
"CR_160460","X1"
"CR_28319","X1"
"CR_76286","X1"
"CR_48930","X1"
"CR_99450","X1"
"CR_125502","X1"
"CR_147128","X0"
"CR_37671","X1"
"CR_55731","X1"
"CR_68721","X1"
"CR_7205","X1"
"CR_101192","X1"
"CR_75521","X1"
"CR_127860","X1"
"CR_177825","X1"
"CR_110405","X1"
"CR_15299","X1"
"CR_152836","X0"
"CR_50614","X1"
"CR_45724","X1"
"CR_165536","X1"
"CR_194237","X1"
"CR_11408","X1"
"CR_174532","X1"
"CR_130272","X1"
"CR_145515","X1"
"CR_122245","X1"
"CR_36373","X1"
"CR_23625","X1"
"CR_20865","X1"
"CR_172962","X1"
"CR_150218","X1"
"CR_77366","X1"
"CR_156217","X1"
"CR_33816","X1"
"CR_193018","X1"
"CR_68751","X1"
"CR_13042","X1"
"CR_25957","X1"
"CR_80718","X1"
"CR_115274","X1"
"CR_144925","X1"
"CR_47820","X1"
"CR_39103","X1"
"CR_77112","X1"
"CR_27084","X1"
"CR_11067","X1"
"CR_142650","X1"
"CR_76389","X1"
"CR_133210","X1"
"CR_2123","X1"
"CR_118444","X1"
"CR_184756","X1"
"CR_190520","X1"
"CR_153554","X1"
"CR_92817","X1"
"CR_139793","X1"
"CR_13409","X1"
"CR_126585","X1"
"CR_137953","X1"
"CR_169468","X1"
"CR_195166","X1"
"CR_5534","X1"
"CR_185802","X0"
"CR_50117","X1"
"CR_156259","X1"
"CR_5804","X1"
"CR_175493","X0"
"CR_22841","X1"
"CR_140864","X1"
"CR_71372","X1"
"CR_143673","X1"
"CR_151685","X1"
"CR_122274","X1"
"CR_168879","X1"
"CR_176516","X1"
"CR_195091","X1"
"CR_24931","X1"
"CR_107975","X0"
"CR_29812","X1"
"CR_86522","X1"
"CR_11456","X1"
"CR_128720","X1"
"CR_175199","X1"
"CR_79839","X1"
"CR_187014","X1"
"CR_193288","X1"
"CR_134658","X1"
"CR_74853","X1"
"CR_39424","X1"
"CR_141418","X1"
"CR_87354","X0"
"CR_23894","X1"
"CR_108871","X1"
"CR_181730","X1"
"CR_28673","X1"
"CR_161458","X1"
"CR_18608","X1"
"CR_167601","X1"
"CR_72509","X1"
"CR_192482","X1"
"CR_52578","X1"
"CR_153531","X1"
"CR_41683","X1"
"CR_198197","X1"
"CR_56498","X1"
"CR_109275","X1"
"CR_84091","X1"
"CR_181773","X1"
"CR_86523","X1"
"CR_64957","X1"
"CR_62991","X1"
"CR_149051","X1"
"CR_163555","X1"
"CR_162111","X1"
"CR_50638","X1"
"CR_64602","X1"
"CR_21617","X1"
"CR_24760","X1"
"CR_44084","X1"
"CR_41065","X1"
"CR_27554","X1"
"CR_111564","X1"
"CR_162410","X1"
"CR_117067","X1"
"CR_155531","X1"
"CR_41674","X1"
"CR_172325","X0"
"CR_193091","X1"
"CR_121107","X1"
"CR_163164","X1"
"CR_126429","X1"
"CR_121602","X1"
"CR_18177","X1"
"CR_72202","X1"
"CR_34333","X1"
"CR_13651","X1"
"CR_169634","X1"
"CR_140444","X1"
"CR_76607","X1"
"CR_171869","X1"
"CR_13708","X1"
"CR_189479","X1"
"CR_80479","X1"
"CR_43920","X1"
"CR_2847","X1"
"CR_65054","X1"
"CR_169969","X1"
"CR_104390","X1"
"CR_62828","X1"
"CR_195431","X1"
"CR_133465","X1"
"CR_125076","X0"
"CR_129899","X1"
"CR_103068","X1"
"CR_133529","X1"
"CR_79468","X1"
"CR_62450","X1"
"CR_120192","X1"
"CR_66275","X1"
"CR_89173","X1"
"CR_168357","X1"
"CR_111046","X1"
"CR_44529","X1"
"CR_144942","X1"
"CR_89279","X1"
"CR_43755","X1"
"CR_105189","X1"
"CR_156406","X1"
"CR_87234","X1"
"CR_35727","X1"
"CR_134582","X1"
"CR_145543","X1"
"CR_99499","X1"
"CR_10014","X1"
"CR_47569","X1"
"CR_153","X1"
"CR_151751","X1"
"CR_175618","X1"
"CR_11122","X1"
"CR_3584","X1"
"CR_3682","X1"
"CR_146098","X1"
"CR_62551","X0"
"CR_186429","X1"
"CR_92683","X1"
"CR_10914","X1"
"CR_102345","X1"
"CR_163839","X1"
"CR_163334","X1"
"CR_41311","X1"
"CR_152190","X1"
"CR_114908","X1"
"CR_171995","X1"
"CR_126037","X1"
"CR_3542","X1"
"CR_35160","X1"
"CR_80897","X1"
"CR_119168","X1"
"CR_168619","X1"
"CR_165549","X1"
"CR_98695","X1"
"CR_185773","X1"
"CR_137571","X1"
"CR_14727","X1"
"CR_27004","X1"
"CR_85064","X1"
"CR_99533","X1"
"CR_173448","X1"
"CR_171688","X1"
"CR_123738","X0"
"CR_9941","X1"
"CR_175196","X0"
"CR_106855","X1"
"CR_101017","X1"
"CR_34850","X1"
"CR_78309","X1"
"CR_38792","X1"
"CR_80719","X1"
"CR_137081","X0"
"CR_81638","X1"
"CR_20496","X1"
"CR_70422","X1"
"CR_105959","X1"
"CR_185782","X1"
"CR_39024","X1"
"CR_48249","X1"
"CR_1501","X0"
"CR_197098","X1"
"CR_44957","X0"
"CR_196407","X1"
"CR_67048","X1"
"CR_123248","X1"
"CR_133563","X1"
"CR_98731","X1"
"CR_88866","X1"
"CR_61079","X1"
"CR_73076","X1"
"CR_128876","X1"
"CR_185722","X1"
"CR_142437","X0"
"CR_107089","X1"
"CR_104100","X1"
"CR_110148","X0"
"CR_35778","X1"
"CR_188424","X1"
"CR_184366","X1"
"CR_5042","X1"
"CR_168285","X1"
"CR_84130","X1"
"CR_55550","X0"
"CR_105187","X1"
"CR_187502","X1"
"CR_89503","X1"
"CR_60969","X1"
"CR_196498","X1"
"CR_186649","X1"
"CR_189911","X1"
"CR_96988","X1"
"CR_10018","X0"
"CR_61380","X1"
"CR_125758","X1"
"CR_729","X0"
"CR_114142","X1"
"CR_85985","X1"
"CR_128277","X1"
"CR_54633","X1"
"CR_82323","X1"
"CR_96076","X1"
"CR_198017","X1"
"CR_146321","X0"
"CR_194254","X1"
"CR_29948","X1"
"CR_114083","X1"
"CR_191045","X1"
"CR_52742","X1"
"CR_107798","X1"
"CR_87984","X1"
"CR_46267","X1"
"CR_70483","X1"
"CR_97169","X1"
"CR_22379","X1"
"CR_99392","X1"
"CR_29832","X1"
"CR_64769","X1"
"CR_174713","X1"
"CR_98078","X1"
"CR_183352","X1"
"CR_134131","X1"
"CR_156","X1"
"CR_170249","X1"
"CR_2181","X1"
"CR_172671","X1"
"CR_190489","X0"
"CR_141263","X1"
"CR_72119","X1"
"CR_146828","X1"
"CR_69666","X1"
"CR_78928","X1"
"CR_195597","X1"
"CR_94257","X1"
"CR_73357","X1"
"CR_56274","X1"
"CR_197479","X1"
"CR_41843","X1"
"CR_25092","X0"
"CR_41933","X0"
"CR_126793","X1"
"CR_147915","X1"
"CR_14238","X0"
"CR_177630","X1"
"CR_93288","X1"
"CR_141801","X1"
"CR_155505","X1"
"CR_193519","X1"
"CR_20700","X1"
"CR_147420","X1"
"CR_87511","X1"
"CR_62884","X1"
"CR_57974","X1"
"CR_11061","X1"
"CR_121218","X1"
"CR_98044","X1"
"CR_42638","X1"
"CR_53257","X1"
"CR_193191","X1"
"CR_181221","X1"
"CR_57935","X1"
"CR_139785","X1"
"CR_85292","X1"
"CR_60053","X1"
"CR_138262","X1"
"CR_169954","X1"
"CR_93507","X1"
"CR_125604","X1"
"CR_17225","X1"
"CR_25230","X1"
"CR_191177","X1"
"CR_28817","X0"
"CR_102190","X1"
"CR_61260","X1"
"CR_110438","X1"
"CR_166102","X1"
"CR_157600","X1"
"CR_123300","X1"
"CR_78281","X1"
"CR_182161","X1"
"CR_9328","X1"
"CR_63736","X0"
"CR_19450","X1"
"CR_195472","X1"
"CR_103834","X1"
"CR_2398","X1"
"CR_1315","X1"
"CR_173801","X1"
"CR_71641","X1"
"CR_175779","X1"
"CR_165597","X1"
"CR_20748","X1"
"CR_9347","X1"
"CR_13396","X1"
"CR_61742","X1"
"CR_59457","X1"
"CR_56686","X1"
"CR_140764","X1"
"CR_7638","X1"
"CR_84983","X1"
"CR_96423","X1"
"CR_61444","X1"
"CR_101964","X1"
"CR_87199","X1"
"CR_107554","X1"
"CR_77973","X1"
"CR_51916","X1"
"CR_14899","X1"
"CR_126648","X0"
"CR_93523","X1"
"CR_121071","X0"
"CR_131194","X1"
"CR_116119","X1"
"CR_144509","X1"
"CR_84903","X1"
"CR_186592","X1"
"CR_152948","X1"
"CR_194507","X1"
"CR_32050","X1"
"CR_157726","X0"
"CR_126209","X1"
"CR_96864","X0"
"CR_102892","X1"
"CR_195958","X1"
"CR_146568","X1"
"CR_196521","X1"
"CR_120180","X1"
"CR_87631","X1"
"CR_72902","X0"
"CR_144936","X1"
"CR_149292","X1"
"CR_28508","X1"
"CR_20067","X1"
"CR_132573","X1"
"CR_100923","X0"
"CR_118977","X1"
"CR_115042","X1"
"CR_190619","X1"
"CR_107443","X1"
"CR_80624","X1"
"CR_173811","X1"
"CR_127266","X1"
"CR_59008","X0"
"CR_37953","X1"
"CR_193958","X1"
"CR_150183","X1"
"CR_54667","X1"
"CR_51904","X1"
"CR_159836","X1"
"CR_69435","X1"
"CR_193699","X1"
"CR_6454","X1"
"CR_195911","X1"
"CR_173501","X1"
"CR_106561","X1"
"CR_143625","X1"
"CR_100836","X0"
"CR_52163","X1"
"CR_176134","X1"
"CR_44873","X1"
"CR_183860","X1"
"CR_53609","X1"
"CR_120002","X1"
"CR_191628","X1"
"CR_169732","X1"
"CR_165789","X0"
"CR_66356","X1"
"CR_38462","X1"
"CR_84108","X1"
"CR_4392","X1"
"CR_144568","X1"
"CR_70622","X1"
"CR_93589","X0"
"CR_157740","X1"
"CR_29621","X1"
"CR_186231","X1"
"CR_178312","X1"
"CR_93320","X1"
"CR_121366","X1"
"CR_140188","X1"
"CR_24598","X1"
"CR_95793","X1"
"CR_95464","X1"
"CR_83890","X1"
"CR_136804","X1"
"CR_44976","X1"
"CR_46204","X1"
"CR_94673","X1"
"CR_27251","X1"
"CR_191847","X1"
"CR_5099","X1"
"CR_51325","X1"
"CR_115702","X1"
"CR_97705","X1"
"CR_18101","X1"
"CR_82225","X1"
"CR_173609","X1"
"CR_81748","X1"
"CR_54953","X1"
"CR_135561","X1"
"CR_60754","X1"
"CR_135739","X1"
"CR_82895","X1"
"CR_175086","X1"
"CR_116275","X1"
"CR_179082","X1"
"CR_72415","X1"
"CR_80080","X1"
"CR_175604","X1"
"CR_130353","X0"
"CR_49980","X1"
"CR_115623","X1"
"CR_107933","X1"
"CR_121974","X1"
"CR_97513","X1"
"CR_188721","X1"
"CR_178603","X1"
"CR_70882","X1"
"CR_166590","X1"
"CR_14004","X1"
"CR_65524","X1"
"CR_6820","X0"
"CR_69529","X1"
"CR_26972","X1"
"CR_110753","X1"
"CR_191778","X1"
"CR_160101","X1"
"CR_173892","X1"
"CR_44897","X1"
"CR_157812","X1"
"CR_130146","X1"
"CR_39909","X1"
"CR_183689","X0"
"CR_18932","X1"
"CR_53056","X1"
"CR_8282","X1"
"CR_92220","X1"
"CR_9565","X1"
"CR_17324","X0"
"CR_197942","X0"
"CR_130764","X1"
"CR_46006","X1"
"CR_64287","X1"
"CR_157514","X1"
"CR_139","X1"
"CR_24651","X1"
"CR_196346","X1"
"CR_193736","X1"
"CR_45038","X1"
"CR_20656","X1"
"CR_39886","X1"
"CR_73713","X1"
"CR_125211","X1"
"CR_135653","X1"
"CR_83864","X1"
"CR_42809","X1"
"CR_35366","X1"
"CR_41657","X0"
"CR_167306","X1"
"CR_186567","X1"
"CR_89907","X1"
"CR_88056","X1"
"CR_63807","X1"
"CR_90766","X1"
"CR_48194","X1"
"CR_2639","X1"
"CR_113323","X1"
"CR_60762","X1"
"CR_174851","X1"
"CR_90529","X1"
"CR_163379","X1"
"CR_128831","X1"
"CR_65648","X1"
"CR_164308","X1"
"CR_2089","X1"
"CR_52037","X1"
"CR_40705","X1"
"CR_94311","X1"
"CR_142726","X1"
"CR_63353","X0"
"CR_27331","X1"
"CR_26560","X1"
"CR_44216","X1"
"CR_86096","X1"
"CR_17557","X1"
"CR_3318","X1"
"CR_36467","X1"
"CR_151954","X1"
"CR_170333","X1"
"CR_14647","X1"
"CR_81172","X1"
"CR_109033","X1"
"CR_128482","X1"
"CR_59093","X1"
"CR_164936","X1"
"CR_165116","X1"
"CR_40803","X1"
"CR_177476","X1"
"CR_110377","X1"
"CR_145763","X1"
"CR_47187","X1"
"CR_189465","X1"
"CR_178162","X1"
"CR_77450","X1"
"CR_86497","X1"
"CR_164701","X1"
"CR_123390","X1"
"CR_73467","X1"
"CR_159718","X1"
"CR_9712","X0"
"CR_144912","X1"
"CR_62635","X1"
"CR_133276","X1"
"CR_73939","X1"
"CR_15333","X1"
"CR_72983","X1"
"CR_167193","X1"
"CR_24099","X1"
"CR_41449","X1"
"CR_11553","X1"
"CR_13354","X1"
"CR_60936","X1"
"CR_144014","X1"
"CR_168135","X1"
"CR_132794","X1"
"CR_174781","X1"
"CR_107383","X1"
"CR_3716","X1"
"CR_140465","X1"
"CR_181477","X1"
"CR_144168","X1"
"CR_122604","X1"
"CR_19546","X1"
"CR_182604","X1"
"CR_23499","X0"
"CR_82699","X1"
"CR_102037","X1"
"CR_59755","X1"
"CR_42334","X1"
"CR_89071","X1"
"CR_8665","X1"
"CR_25976","X1"
"CR_157610","X1"
"CR_137300","X1"
"CR_93520","X1"
"CR_159851","X1"
"CR_64923","X1"
"CR_42989","X1"
"CR_32838","X1"
"CR_178897","X1"
"CR_126433","X1"
"CR_133033","X1"
"CR_53927","X1"
"CR_115955","X1"
"CR_78926","X1"
"CR_109101","X1"
"CR_53818","X1"
"CR_188914","X1"
"CR_70123","X1"
"CR_18988","X1"
"CR_148110","X1"
"CR_174811","X1"
"CR_85256","X1"
"CR_140659","X1"
"CR_189010","X1"
"CR_198195","X1"
"CR_143385","X1"
"CR_83678","X1"
"CR_74722","X1"
"CR_108626","X1"
"CR_175671","X1"
"CR_122784","X1"
"CR_137264","X1"
"CR_50748","X1"
"CR_110356","X1"
"CR_175207","X1"
"CR_197069","X1"
"CR_37473","X1"
"CR_100986","X1"
"CR_85849","X1"
"CR_113720","X1"
"CR_52784","X1"
"CR_5840","X1"
"CR_127802","X1"
"CR_25508","X1"
"CR_47703","X1"
"CR_144253","X1"
"CR_186585","X1"
"CR_109712","X1"
"CR_9301","X1"
"CR_173629","X1"
"CR_56084","X1"
"CR_35802","X1"
"CR_156536","X1"
"CR_96458","X1"
"CR_76489","X1"
"CR_4622","X1"
"CR_147160","X0"
"CR_126027","X1"
"CR_83549","X1"
"CR_151682","X1"
"CR_107334","X1"
"CR_32642","X0"
"CR_58741","X1"
"CR_82534","X1"
"CR_188605","X1"
"CR_166222","X1"
"CR_118206","X1"
"CR_136734","X1"
"CR_26234","X1"
"CR_191879","X1"
"CR_80865","X1"
"CR_52171","X1"
"CR_197678","X1"
"CR_162462","X1"
"CR_4944","X1"
"CR_191055","X1"
"CR_96389","X1"
"CR_21519","X1"
"CR_73460","X1"
"CR_143865","X1"
"CR_162509","X1"
"CR_189783","X1"
"CR_108625","X1"
"CR_136801","X1"
"CR_128822","X1"
"CR_194929","X0"
"CR_29735","X1"
"CR_101104","X1"
"CR_59910","X1"
"CR_32614","X0"
